Formation;Module;Type;Référence;Point à arbitrer;Statut (à remplir)
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module E — Salariés et droit social";"QR";"manual:8deda724-c513-4b48-a24e-098c39d8bcb2";"Le corrigé ne répond pas à l'énoncé : celui-ci porte sur les modes de rupture du contrat, le corrigé traite de la médecine et de l'inspection du travail. Réécriture intégrale nécessaire, hors format de remplacement ciblé. Le barème est aligné sur l'énoncé et ses références sont exactes (rétractation 15 jours calendaires L. 1237-13, homologation DREETS L. 1237-14, L. 1232-2, L. 1234-19).";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Hors module";"QCM";"mft-2026:moduleC:qcm:30";"Question obsolète : depuis le 1er mai 2017, le contrat type général est fixé par le décret n° 2017-461 du 31 mars 2017, annexé à l'art. D. 3222-1 du code des transports (vérifié sur Légifrance) ; le décret 99-269 de 1999 n'est plus le texte en vigueur. Aucune option ne propose 2017-461 : la clé b n'est défendable qu'historiquement. À réécrire : remplacer 99-269 par « décret 2017-461 du 31 mars 2017 » dans les choix et l'explication.";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Hors module";"QCM";"mft-2026:moduleC:qcm:4";"Le « CRSR » n'existe pas en droit positif. L'organe réel est la commission territoriale des sanctions administratives (CTSA, ex-CRSA) : placée auprès du préfet de région mais présidée par une personnalité nommée par lui (art. R3452-2 code des transports), avis consultatif avant sanction (R3452-12). La clé b reste la plus proche mais son libellé « présidée par le préfet » est inexact : reformuler question et choix (CTSA, placée auprès du préfet).";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Hors module";"QCM";"mft-2026:moduleC:qcm:45";"Clé fondée sur l'ancien contrat type (décret 99-269, 23 euros/kg), abrogé depuis le 1er mai 2017. Le contrat type général en vigueur (décret 2017-461, art. 22) prévoit pour les envois de moins de 3 t : 33 euros/kg dans la limite de 1 000 euros par colis (20 euros/kg et 3 200 euros/t au-delà de 3 t). Pour 50 kg : 1 650 euros, ramenés à 1 000 euros si colis unique. Aucun des 4 choix n'est exact : question et options à réécrire, pas de bonne_id désignable.";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Hors module";"QCM";"mft-2026:moduleC:qcm:6";"Aucun accord du 8 février 2008 sur le temps de travail dans le TRM n'est trouvable sur Légifrance ni dans la liste officielle des accords sociaux étendus du TRM (annexe G, SDES). Textes proches réels : ANI du 11 janvier 2008 (modernisation du marché du travail) et accord du 18 février 2008 (rémunérations CCNTR). La prémisse de l'énoncé est invérifiable : vérifier la référence du livret avant de valider la clé b ou réécrire la question.";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Hors module";"QCM";"mft-2026:moduleC:qcm:8";"Aucune source officielle n'atteste l'acronyme « BOTRA » : la seule occurrence trouvée est une société privée (SIREN 391 674 975, annuaire-entreprises.data.gouv.fr). La publication réelle est le Bulletin officiel du ministère chargé des transports (BO). La clé b est la seule cohérente avec l'intention pédagogique, mais la question enseigne un sigle invérifiable : à faire valider par le formateur ou à reformuler (« Le Bulletin officiel des transports (BO) est : »).";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module D — Activité financière";"QR";"mft-2026:moduleD:qr10";"Point éditorial : le bilan simplifié 2025 de MG TRANS annoncé en annexe est absent de l'énoncé stocké, ce qui empêche tout chiffrage du FRNG, du BFR et de la TN. Les définitions et formules du corrigé (FRNG = ressources stables moins actif immobilisé ; BFR = actif circulant d'exploitation moins dettes d'exploitation ; TN = FRNG moins BFR = trésorerie active moins passive) sont les définitions standard et n'appellent pas de correction ; il faut fournir l'annexe ou réécrire l'énoncé.";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module D — Activité financière";"QR";"mft-2026:moduleD:qr11";"Choix pédagogique, pas de norme opposable : la convention brut = net / (1 - 0,21) découle directement des données de l'énoncé (charges salariales 21 %) et donne bien 2 177,22 EUR/mois ; l'ordre de grandeur est réaliste (part salariale réelle d'environ 21 à 23 % du brut). Le classement de l'assurance marchandises et des frais de déplacement en charges fixes est une convention de correction sans effet sur le coût de revient total de 54 842,88 EUR ; seule la grille du formateur peut trancher la ventilation attendue.";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module D — Activité financière";"QR";"mft-2026:moduleD:qr12";"Donnée manquante dans l'énoncé : sans prix de vente au km ni coût variable au km, la marge sur coût variable unitaire est indéterminable et aucun kilométrage minimum chiffré ne peut être calculé ; le CRKM de 0,92 EUR/km est un coût complet inutilisable seul. La démarche du corrigé (nouveau seuil = charges fixes majorées / marge sur coût variable par km, soit 38 000 km + 35 000 EUR / MCV unitaire) est la méthode standard du seuil de rentabilité. Il faut compléter l'énoncé pour permettre le chiffrage.";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module D — Activité financière";"QR";"mft-2026:moduleD:qr8";"Point éditorial : l'incohérence interne de l'énoncé est avérée (avec CF 30 000 EUR et CV 0,30 EUR/km, le CRKM à 60 000 km ressort à 0,80 EUR/km et non 0,95 EUR/km), mais aucune source externe ne peut trancher l'intention (0,95 = tarif de vente actuel, coût incluant d'autres charges, ou erreur de chiffre). Les calculs du corrigé à partir des CF/CV fournies (CRKM 0,675 EUR/km à 80 000 km, marge 0,205 EUR/km, décision d'accepter) sont arithmétiquement exacts. À arbitrer par le formateur.";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module E — Salariés et droit social";"QCM";"mft-2026:moduleE:l1:q11";"Ambiguïté : b (« Plus favorable que la CCN ») et c sont tous deux juridiquement vrais, le contrat de travail peut effectivement prévoir des stipulations plus favorables que la convention collective (principe de faveur, art. L.2254-1 C. trav.) ; c est seulement plus complet. Un stagiaire choisissant b serait pénalisé à tort en autocorrection. Reformuler b en proposition fausse (ex. « Uniquement ce que prévoit la CCN ») ou préciser « choisir la réponse la plus complète ».";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module E — Salariés et droit social";"QCM";"mft-2026:moduleE:l1:q12";"Énoncé confus : les blocs de l'art. L. 2253-1 régissent l'articulation branche / accord d'entreprise, pas le conflit loi / CCN posé par la question. Face au Code du travail, c'est le principe de faveur qui joue : la CCN prime si plus favorable, mais la loi (SMIC, ordre public) prime sinon. a et b sont donc chacun défendables ; reformuler en « CCN vs accord d'entreprise sur les salaires minima (bloc 1) ».";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module E — Salariés et droit social";"QCM";"mft-2026:moduleE:l2:q11";"Énoncé ambigu : la clé c (2 mois) n'est vraie qu'en cas de LICENCIEMENT (ancienneté d'au moins 2 ans, art. L1234-1 C. trav., repris par la CCN transports IDCC 16). En cas de démission, le préavis d'un ouvrier est de 1 semaine quelle que soit l'ancienneté : le choix a est donc lui aussi défendable. Ajouter « en cas de licenciement » dans l'énoncé pour lever l'ambiguïté, la clé c devient alors incontestable.";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module E — Salariés et droit social";"QCM";"mft-2026:moduleE:l2:q4";"Le compte « 4 » est une convention pédagogique (remplacement, accroissement, saisonnier, usage) mais pas une donnée légale univoque : l'article L1242-2 du code du travail énumère 6 cas (dont remplacement du chef d'entreprise ou d'exploitant agricole et CDD à objet défini) et les énumérations détaillées type service-public atteignent 7-8 cas, rendant le distracteur « 7 » défendable. Reformuler, par exemple « grandes familles de cas de recours au CDD », ou aligner sur les 6 cas de L1242-2.";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module E — Salariés et droit social";"QCM";"mft-2026:moduleE:l2:q7";"La clé b est vraie (la rupture conventionnelle ouvre droit à l'ARE), mais le distracteur c est lui aussi défendable : service-public.fr (fiche F19030) précise que le dispositif « ne s'applique pas » aux salariés en CDD, ce qu'un stagiaire peut légitimement lire comme « interdite en CDD ». Deux réponses défendables dans un QCM à réponse unique : reformuler c (par exemple « Peut être imposée unilatéralement par l'employeur ») pour lever l'ambiguïté sans changer la clé.";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module E — Salariés et droit social";"QCM";"mft-2026:moduleE:l4:q4";"Clé datée : depuis Cass. soc. 25 nov. 2015, n°14-24.444 (Air France), l'obligation de sécurité n'est plus qualifiée d'obligation de résultat mais d'obligation de moyens renforcée, l'employeur pouvant s'exonérer en prouvant avoir pris toutes les mesures des art. L.4121-1 et L.4121-2. Le choix a (« de moyens » sans le qualificatif « renforcée ») serait toutefois lui aussi imprécis : deux réponses défendables selon la jurisprudence retenue. Question à réécrire avec l'option « de moyens renforcée ».";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module E — Salariés et droit social";"QR";"mft-2026:moduleE:qr4";"La CCN transports routiers (IDCC 16) ne prévoit pas de prime de 1 % : pour les ouvriers, il s'agit d'une majoration des rémunérations conventionnelles garanties de 2 % après 2 ans (puis 4, 6 et 8 % à 5, 10 et 15 ans), assise sur le taux conventionnel du coefficient et non sur le salaire réel. Le 1 % de l'énoncé est un paramètre pédagogique sans base conventionnelle : choix éditorial à trancher (modifier l'énoncé vers 2 % sur taux conventionnel, ou assumer la simplification que le corrigé signale déjà).";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module F — Sécurité";"QCM";"mft-2026:moduleF:l1:q1";"La clé b (≤ 3,5 t) est exacte, mais l'explication est trompeuse : elle laisse croire que le permis B seul couvre un ensemble jusqu'à 4,25 t, alors qu'entre 3,5 et 4,25 t d'ensemble la mention additionnelle B96 (formation de 7 h) est obligatoire ; le permis B seul ne couvre qu'un ensemble ≤ 3,5 t (vérifié sur service-public.fr, fiche F2827). [Contre-vérification : non confirmé : F2827 contredit le texte proposé : avec remorque ≤ 750 kg, le B seul couvre un ensemble jusqu'à 4 250 kg (aucune limite d'ensemble) ; le B96 n'est exigé que si remorque > 750 kg et somme des PTAC entre 3 500 et 4 250 kg. La phrase « ensemble > 3,5 t ⇒ B96 » du nouveau texte est fausse.]";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module F — Sécurité";"QCM";"mft-2026:moduleF:l1:q2";"Clé b imprécise et distracteur d défendable. La qualification initiale (140 h) s'impose au compte propre COMME au compte d'autrui (décret 2007-1340, confirmé par ecologie.gouv.fr), donc « pour transport pour autrui » est inexact. Et la FIMO marchandises ne vise que les véhicules de PTAC > 3,5 t, point précisément enseigné dans ce parcours ≤ 3,5 t : un stagiaire peut légitimement cocher d. Reformuler (retirer « pour autrui » et remplacer le distracteur d).";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module F — Sécurité";"QCM";"mft-2026:moduleF:l1:q6";"Depuis le 10/09/2009, la FIMO s'applique aussi au compte propre dès lors que le véhicule exige un permis C/CE ; l'exemption réelle (R3314-15 du code des transports) vise la conduite non principale avec matériel pour son métier, pas le statut compte propre en soi. En cadre ≤ 3,5 t (permis B), la clé b reste vraie, mais l'énoncé généralise : le choix a est défendable pour un conducteur permanent en compte propre > 3,5 t. Reformuler l'énoncé en précisant ≤ 3,5 t.";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module F — Sécurité";"QCM";"mft-2026:moduleF:l3:q4";"Cle b seule defendable (amende + risque penal) mais son montant est faux : le defaut d'arrimage releve de l'art. R312-19 IV du code de la route, contravention de 3e classe (68 euros forfaitaire, 450 euros max), verifie sur Legifrance ; 750 euros est le max de la 4e classe (surcharge). Le chiffre errone etant dans le libelle du choix, corriger cle ou explication ne suffit pas : reecrire le libelle b (amende 3e classe, immobilisation possible, responsabilite penale en cas d'accident).";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module F — Sécurité";"QCM";"mft-2026:moduleF:l4:q3";"Un véhicule 100 % électrique reçoit la vignette verte réservée aux véhicules électriques et hydrogène (dite Crit'Air 0 ou E), et non la Crit'Air 1 (violette : gaz, hybrides rechargeables, essence Euro 5/6). Aucun des 4 choix proposés n'est donc exact et l'explication actuelle confond les deux classes. Il faut réécrire les choix en ajoutant la vignette verte électrique/hydrogène comme bonne réponse. Sources : service-public.fr F33371 et ecologie.gouv.fr (certificats qualité de l'air).";""
"Attestation de capacité professionnelle — véhicules ≤ 3,5 t";"Module F — Sécurité";"QR";"mft-2026:moduleF:qr2";"Procédure (signalement écrit, immobilisation, réparation tracée, remise en service) exacte, mais la qualification « obligation de sécurité de résultat » est datée : depuis Cass. soc. 25 novembre 2015, n° 14-24.444 (Air France), l'obligation de sécurité de l'employeur (art. L.4121-1 C. trav.) est une obligation de moyens renforcée, l'employeur pouvant s'exonérer en prouvant les mesures de prévention prises. [Contre-vérification : non confirmé : Legifrance confirme l'arrêt (soc. 25/11/2015 n°14-24.444, Air France) mais celui-ci conserve la formule « obligation de sécurité de résultat » : « obligation de moyens renforcée » est doctrinal, non jurisprudentiel. De plus L.4121-1 ne vise que les travailleurs, pas les tiers.]";""
"Capacité de transport > 3,5 t — Préparation à l'examen national";"Module F — Accès à la profession et au marché";"QR";"34ebcb91-QR-06-placeholder";"L'énoncé lui-même demande de justifier l'obligation de retour des véhicules toutes les huit semaines, or cette disposition du règlement (UE) 2020/1055 a été annulée par la CJUE le 4 octobre 2024 (aff. jointes C-541/20 à C-555/20) et n'est plus applicable. Le reste du corrigé (boîtes aux lettres, retour des conducteurs, détachement) reste exact. Corriger le seul corrigé créerait une incohérence : la question doit être reformulée en cadrage historique ou retirée. Décision formateur.";""
"Capacité de transport > 3,5 t — Préparation à l'examen national";"Module G — Normes techniques et exploitation";"QCM";"CAPA-LOURD-G-QCM-04";"Ambigu : l'ADR lui-même (2.1.1.1) énumère 13 classes, car 4.1, 4.2, 4.3, 5.1, 5.2, 6.1 et 6.2 y sont des classes à part entière (contrairement au modèle ONU/IMDG), et les formations ADR françaises (AFTRAL, Dekra) enseignent 13 classes. La clé 9 repose sur la numérotation 1 à 9, mais 13 n'est pas proposé : un stagiaire bien formé est piégé. Reformuler (classes numérotées de 1 à ...) ou proposer 13 en choix.";""
"Enseignant de la Conduite et de la Sécurité Routière";"Module 1 : Le métier et le titre ECSR";"QR";"ECSR-M1-QR-05";"Socle exact : évaluation de départ préalable au contrat, contrat écrit, démarches ANTS, livret d'apprentissage exigé par l'art. R211-3, épreuve pratique évaluée par un IPCSR sous l'autorité du DPCSR. Deux points à arbitrer : le livret n'est pas obligatoirement dématérialisé (le numérique reste une option), et la formule places attribuées via la préfecture/DDT ne reflète plus RdvPermis, où l'école réserve directement le créneau. Périmètre exact de RdvPermis en 2026 non vérifié.";""
"Enseignant de la Conduite et de la Sécurité Routière";"Module 2 : Le REMC et les parcours de formation";"QR";"ECSR-M2-QC-03";"Les trois couples attestation/niveau sont exacts (APER en primaire, délivrée en fin de cycle 3 ; ASSR1 en 5e ; ASSR2 en 3e). En revanche la parenthèse sur l'ASSR2 est trop large : l'obligation vise les candidats nés en 1988 ou après ET âgés de moins de 21 ans, pour l'obtention de leur première catégorie de permis (l'ASR en tient lieu hors scolarité). [Contre-vérification : non confirmé : Sources officielles (service-public F16548 et F2828) : condition = moins de 21 ans + 1re categorie (A, A2, B, B1), sans critere d'annee de naissance. Le remplacement conserve « nes en 1988 ou apres » comme condition cumulative, non etayee par la source citee (lien eduscol obsolete : 301 puis 403).]";""
"Enseignant de la Conduite et de la Sécurité Routière";"Module 2 : Le REMC et les parcours de formation";"QR";"ECSR-M2-QR-04";"Faits exacts : AAC dès 15 ans, 1 an minimum et 3 000 km, 2 rendez-vous pédagogiques, probatoire 2 ans au lieu de 3 ; conduite supervisée réservée aux 18 ans révolus (le code de la route n'a pas été aligné sur le permis à 17 ans). Point éditorial à arbitrer : depuis le 1er janvier 2024 l'épreuve pratique B est ouverte à tous dès 17 ans, donc ""examen dès 17 ans"" n'est plus un élément distinctif du cadre AAC (corrigé et barème).";""
